시도명,시군구명,60~64세,60세 이상 - 계,65~69세,70~74세,75~79세,80~84세,85세이상,격리병상수,남은 격리병상수,병원수,예측된 사망자수,요양기관수,총인구,확진자수
경상남도,산청군,3659,15115,3097,2493,2455,2069,1342,1.0,0.0,1.0,32.791658190783835,1.0,33500.0,7877.0
경상남도,양산시,23903,68382,16452,11446,8440,5260,2881,68.0,6.0,2.0,144.25099462458837,14.0,351206.0,116776.0
경상남도,의령군,2741,11607,2277,1863,1894,1669,1163,1.0,1.0,1.0,28.99088273718843,2.0,25965.0,5838.0
경상남도,진주시,25564,81098,18518,14050,10829,7431,4706,57.0,19.0,6.0,150.29769702071968,7.0,352403.0,114604.0
경상남도,창녕군,6354,23538,4977,3999,3602,2817,1789,1.0,0.0,1.0,51.087502535204294,7.0,61302.0,14991.0
경상남도,창원시,81060,221163,55225,35972,24552,15497,8857,456.0,83.0,9.0,423.3328377025498,39.0,1029389.0,357552.0
경상남도,통영시,11212,34607,8302,6000,4607,2842,1644,17.0,2.0,1.0,68.65755252619738,3.0,127984.0,38176.0
경상남도,하동군,4552,18671,3727,3114,2933,2535,1810,0.0,0.0,0.0,38.18779368084108,2.0,41772.0,9520.0
경상남도,함안군,5803,20276,4440,3374,2901,2284,1474,0.0,0.0,0.0,44.0992014927117,3.0,65279.0,16887.0
경상남도,합천군,4575,20208,3825,3374,3428,3029,1977,1.0,0.0,1.0,39.77587557001482,2.0,42140.0,9524.0
경상북도,경산시,19386,61212,14253,10525,8128,5653,3267,6.0,2.0,2.0,121.07363374626846,9.0,283733.0,85732.0
경상북도,경주시,22026,74723,16887,12773,10557,7637,4843,33.0,11.0,1.0,133.915406814883,12.0,261778.0,66766.0
경상북도,고령군,3116,12117,2634,2061,1792,1546,968,3.0,0.0,1.0,29.300383764761705,1.0,31419.0,6665.0
경상북도,구미시,23914,61370,14259,8797,6618,4700,3082,66.0,25.0,3.0,136.06187068154438,10.0,416603.0,128895.0
경상북도,김천시,11625,41801,9261,6984,5852,4835,3244,130.0,37.0,2.0,75.40590341287395,3.0,139145.0,38493.0
경상북도,문경시,7032,26791,5660,4627,4167,3263,2042,8.0,6.0,2.0,49.91431935680072,1.0,68212.0,19096.0
경상북도,봉화군,3487,14060,2917,2269,2250,1887,1250,0.0,0.0,0.0,31.108911086565286,1.0,29945.0,5993.0
경상북도,상주시,9716,37968,7752,6397,5735,4989,3379,87.0,20.0,2.0,65.48173695461657,3.0,95473.0,22978.0
경상북도,성주군,4546,16963,3799,3014,2352,1875,1377,3.0,0.0,1.0,39.59886774390418,5.0,41574.0,8584.0
경상북도,안동시,13511,49496,10875,8276,7577,5591,3666,258.0,54.0,3.0,90.99318224424735,7.0,159412.0,46128.0
경상북도,영덕군,3642,16332,3281,2731,2956,2303,1419,0.0,0.0,0.0,35.60553317683883,2.0,34893.0,9130.0
경상북도,영주시,9624,35783,8048,6022,5430,4077,2582,143.0,47.0,1.0,67.15118591848926,4.0,103818.0,31132.0
경상북도,영천시,9399,35791,7872,6326,5526,4103,2565,3.0,1.0,1.0,65.24050267420427,3.0,100353.0,26058.0
경상북도,예천군,4728,20355,4163,3323,3284,2888,1969,0.0,0.0,1.0,41.66109978719862,2.0,53718.0,15490.0
경상북도,울릉군,906,2976,682,522,414,276,176,0.0,0.0,1.0,17.25227175182971,1.0,8444.0,1393.0
경상북도,울진군,4401,16988,3278,2744,2702,2251,1612,4.0,0.0,1.0,37.20385976588511,2.0,47151.0,12321.0
경상북도,의성군,5825,25461,5248,4236,4316,3524,2312,0.0,0.0,1.0,49.37144090919975,5.0,49243.0,10492.0
경상북도,청도군,4629,19310,4267,3403,2833,2473,1705,0.0,0.0,1.0,42.07886116499952,5.0,41378.0,9626.0
경상북도,칠곡군,7516,23970,5180,3850,3275,2518,1631,0.0,0.0,0.0,54.93891517710949,5.0,115756.0,28322.0
경상북도,포항시,43982,125687,32217,20760,14619,9011,5098,302.0,68.0,5.0,241.72223192915504,30.0,501109.0,158684.0
광주광역시,광산구,20450,55911,12076,9364,6899,4474,2648,47.0,8.0,5.0,141.23011475479012,15.0,422502.0,157113.0
광주광역시,남구,16199,51873,11712,9764,7205,4368,2625,43.0,5.0,3.0,105.70878498204507,9.0,214860.0,74196.0
광주광역시,동구,8008,28733,6305,5465,4469,2902,1584,68.0,24.0,2.0,66.92261429335736,9.0,106005.0,40055.0
광주광역시,북구,31605,93279,21342,16672,12078,7243,4339,36.0,9.0,5.0,186.25444634069504,18.0,439352.0,141595.0
광주광역시,서구,20400,60751,13852,10869,7959,4839,2832,46.0,9.0,4.0,125.76068016777009,9.0,294854.0,106009.0
대구광역시,남구,12670,44734,10484,8093,6504,4385,2598,138.0,58.0,4.0,90.03949749436998,9.0,145588.0,56733.0
대구광역시,달서구,42818,119948,29333,19538,13998,9142,5119,92.0,44.0,6.0,222.2463507307351,14.0,566712.0,160926.0
대구광역시,달성군,16862,47020,11332,7646,5378,3603,2199,0.0,0.0,0.0,101.88766779949987,9.0,261013.0,75016.0
대구광역시,동구,27686,91144,21852,16394,12730,8057,4425,56.0,11.0,1.0,159.9376206413966,8.0,333294.0,94786.0
대구광역시,북구,30987,91224,21355,15343,11992,7477,4070,279.0,47.0,2.0,176.1794850634076,13.0,446466.0,125817.0
대구광역시,서구,16723,53086,13253,9423,7186,4325,2176,155.0,40.0,1.0,107.37634098598579,10.0,170437.0,81155.0
대구광역시,수성구,29650,92981,21543,15763,12294,8385,5346,2.0,0.0,1.0,168.92534287914054,10.0,412912.0,109011.0
대구광역시,중구,5309,19740,4269,3765,3129,2061,1207,154.0,49.0,3.0,46.22898637829786,2.0,74278.0,30848.0
대전광역시,대덕구,14296,40330,9425,6525,5063,3162,1859,113.0,6.0,2.0,79.89388726324091,3.0,176393.0,51421.0
대전광역시,동구,17800,57092,13094,10133,8110,5039,2916,24.0,8.0,1.0,116.98276866209949,13.0,232559.0,77770.0
대전광역시,서구,32076,89680,21307,14681,10501,6733,4382,46.0,29.0,3.0,176.81513471706813,10.0,478629.0,151372.0
대전광역시,유성구,20463,51744,12310,7488,5384,3605,2494,38.0,9.0,1.0,123.23145670461761,9.0,368895.0,135528.0
대전광역시,중구,18246,61118,13978,11270,8625,5629,3370,104.0,28.0,3.0,120.78355415253597,12.0,231959.0,80330.0
부산광역시,금정구,20857,65991,16370,11972,8765,5129,2898,0.0,0.0,0.0,131.64200703608293,18.0,237219.0,68968.0
부산광역시,기장군,11247,35780,8769,6550,4700,2858,1656,24.0,3.0,2.0,77.74897408431212,5.0,169465.0,56890.0
부산광역시,남구,21946,72376,17554,13634,10283,5949,3010,29.0,11.0,1.0,132.71025559058882,8.0,269111.0,76075.0
부산광역시,동구,8210,29438,6894,5548,4540,2816,1430,43.0,7.0,2.0,63.466912191304004,5.0,87246.0,42023.0
부산광역시,동래구,22037,68494,17440,12530,8818,5000,2669,34.0,21.0,3.0,138.0234950427403,15.0,263345.0,94638.0
부산광역시,부산진구,29944,95280,23175,17195,12932,7943,4091,80.0,20.0,4.0,174.37081625452925,15.0,351403.0,101400.0
부산광역시,북구,25868,71686,17787,12105,8370,4920,2636,10.0,3.0,2.0,137.46356110097625,13.0,280177.0,80900.0
부산광역시,사상구,20565,56541,14575,9805,6419,3505,1672,41.0,5.0,2.0,116.28657387317031,13.0,216350.0,75743.0
부산광역시,사하구,28058,82847,21027,14791,10134,5860,2977,0.0,0.0,0.0,163.54085314495734,22.0,312057.0,91541.0
부산광역시,서구,9724,34264,8043,6434,5093,3245,1725,156.0,40.0,4.0,71.05376372769439,6.0,105303.0,43200.0
부산광역시,수영구,15129,50046,12343,9635,6706,4061,2172,39.0,13.0,2.0,99.93012158825695,11.0,171461.0,52725.0
부산광역시,연제구,17483,55162,13843,10072,7331,4287,2146,125.0,35.0,1.0,116.35655787458359,14.0,204947.0,84012.0
