시도명,시군구명,총인구 (명)
경상북도,성주군,41574
경상북도,칠곡군,115756
경상북도,예천군,53718
경상북도,봉화군,29945
경상북도,울진군,47151
경상북도,울릉군,8444
,,3333056
,읍부,506242
,면부,697601
,동부,2129213
경상남도,진주시,352403
경상남도,통영시,127984
경상남도,사천시,111184
경상남도,김해시,552427
경상남도,밀양시,103228
경상남도,거제시,246965
경상남도,양산시,351206
경상남도,창원시,1029389
경상남도,의창구,262203
경상남도,성산구,213607
경상남도,마산합포구,172632
경상남도,마산회원구,190389
경상남도,진해구,190558
경상남도,의령군,25965
경상남도,함안군,65279
경상남도,창녕군,61302
경상남도,고성군,50016
경상남도,남해군,41587
경상남도,하동군,41772
경상남도,산청군,33500
경상남도,함양군,37114
경상남도,거창군,59595
경상남도,합천군,42140
,,670858
,읍부,153767
,면부,35539
,동부,481552
제주특별자치도,제주시,492306
제주특별자치도,서귀포시,178552
