,loc_sido,loc_gun,cnt_hos,bed,remain_bed,pop,nurse,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
48,경상남도,사천시,2.0,148.0,17.0,111184.0,5.0,31190,8624,6919,5541,4607,3407,2092,34307.0,79.40941176470588
49,경상남도,산청군,1.0,1.0,0.0,33500.0,1.0,15115,3659,3097,2493,2455,2069,1342,7877.0,63.711176470588235
50,경상남도,양산시,2.0,68.0,6.0,351206.0,14.0,68382,23903,16452,11446,8440,5260,2881,116776.0,151.58529411764707
51,경상남도,의령군,1.0,1.0,1.0,25965.0,2.0,11607,2741,2277,1863,1894,1669,1163,5838.0,64.00941176470589
52,경상남도,진주시,6.0,57.0,19.0,352403.0,7.0,81098,25564,18518,14050,10829,7431,4706,114604.0,183.1041176470588
53,경상남도,창녕군,1.0,1.0,0.0,61302.0,7.0,23538,6354,4977,3999,3602,2817,1789,14991.0,68.6364705882353
54,경상남도,창원시,9.0,456.0,83.0,1029389.0,39.0,221163,81060,55225,35972,24552,15497,8857,357552.0,492.5835294117647
55,경상남도,통영시,1.0,17.0,2.0,127984.0,3.0,34607,11212,8302,6000,4607,2842,1644,38176.0,63.46
56,경상남도,하동군,0.0,0.0,0.0,41772.0,2.0,18671,4552,3727,3114,2933,2535,1810,9520.0,63.709411764705884
57,경상남도,함안군,0.0,0.0,0.0,65279.0,3.0,20276,5803,4440,3374,2901,2284,1474,16887.0,63.709411764705884
58,경상남도,합천군,1.0,1.0,0.0,42140.0,2.0,20208,4575,3825,3374,3428,3029,1977,9524.0,63.89941176470588
59,경상북도,경산시,2.0,6.0,2.0,283733.0,9.0,61212,19386,14253,10525,8128,5653,3267,85732.0,146.71529411764706
60,경상북도,경주시,1.0,33.0,11.0,261778.0,12.0,74723,22026,16887,12773,10557,7637,4843,66766.0,168.2005882352941
61,경상북도,고령군,1.0,3.0,0.0,31419.0,1.0,12117,3116,2634,2061,1792,1546,968,6665.0,63.711176470588235
62,경상북도,구미시,3.0,66.0,25.0,416603.0,10.0,61370,23914,14259,8797,6618,4700,3082,128895.0,165.5364705882353
63,경상북도,김천시,2.0,130.0,37.0,139145.0,3.0,41801,11625,9261,6984,5852,4835,3244,38493.0,99.43
64,경상북도,문경시,2.0,8.0,6.0,68212.0,1.0,26791,7032,5660,4627,4167,3263,2042,19096.0,65.05823529411765
65,경상북도,봉화군,0.0,0.0,0.0,29945.0,1.0,14060,3487,2917,2269,2250,1887,1250,5993.0,63.709411764705884
66,경상북도,상주시,2.0,87.0,20.0,95473.0,3.0,37968,9716,7752,6397,5735,4989,3379,22978.0,97.52470588235295
67,경상북도,성주군,1.0,3.0,0.0,41574.0,5.0,16963,4546,3799,3014,2352,1875,1377,8584.0,63.711176470588235
68,경상북도,안동시,3.0,258.0,54.0,159412.0,7.0,49496,13511,10875,8276,7577,5591,3666,46128.0,149.8629411764706
69,경상북도,영덕군,0.0,0.0,0.0,34893.0,2.0,16332,3642,3281,2731,2956,2303,1419,9130.0,63.709411764705884
70,경상북도,영주시,1.0,143.0,47.0,103818.0,4.0,35783,9624,8048,6022,5430,4077,2582,31132.0,88.93470588235294
71,경상북도,영천시,1.0,3.0,1.0,100353.0,3.0,35791,9399,7872,6326,5526,4103,2565,26058.0,71.21411764705883
72,경상북도,예천군,1.0,0.0,0.0,53718.0,2.0,20355,4728,4163,3323,3284,2888,1969,15490.0,63.711176470588235
73,경상북도,울릉군,1.0,0.0,0.0,8444.0,1.0,2976,906,682,522,414,276,176,1393.0,63.711176470588235
74,경상북도,울진군,1.0,4.0,0.0,47151.0,2.0,16988,4401,3278,2744,2702,2251,1612,12321.0,63.41
75,경상북도,의성군,1.0,0.0,0.0,49243.0,5.0,25461,5825,5248,4236,4316,3524,2312,10492.0,64.80176470588235
76,경상북도,청도군,1.0,0.0,0.0,41378.0,5.0,19310,4629,4267,3403,2833,2473,1705,9626.0,63.711176470588235
77,경상북도,칠곡군,0.0,0.0,0.0,115756.0,5.0,23970,7516,5180,3850,3275,2518,1631,28322.0,63.709411764705884
78,경상북도,포항시,5.0,302.0,68.0,501109.0,30.0,125687,43982,32217,20760,14619,9011,5098,158684.0,345.87823529411764
79,광주광역시,광산구,5.0,47.0,8.0,422502.0,15.0,55911,20450,12076,9364,6899,4474,2648,157113.0,177.09882352941176
80,광주광역시,남구,3.0,43.0,5.0,214860.0,9.0,51873,16199,11712,9764,7205,4368,2625,74196.0,134.97235294117647
81,광주광역시,동구,2.0,68.0,24.0,106005.0,9.0,28733,8008,6305,5465,4469,2902,1584,40055.0,86.2835294117647
82,광주광역시,북구,5.0,36.0,9.0,439352.0,18.0,93279,31605,21342,16672,12078,7243,4339,141595.0,227.96117647058824
