3-1. 성/연령/입지유형별 이동량,,,성별/연령별 이동량은 법인폰 제외로 전국 총계와 다를 수 있음(성별 합계 = 연령별 합계 ≤ 전국 총계 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전국 총계,,,성별,,,,,,연령별,,,,,,,,,,,,,,,,,,,,,입지유형별,,,,,,,,,,,,,,,,,
,관내/외 합계,관내,관외,관내/외 합계,,관내,,관외,,관내/외 합계,,,,,,,관내,,,,,,,관외,,,,,,,관내/외 합계,,,,,,관내,,,,,,관외,,,,,
,,,,남성,여성,남성,여성,남성,여성,20세 미만,20대,30대,40대,50대,60대,70세 이상,20세 미만,20대,30대,40대,50대,60대,70세 이상,20세 미만,20대,30대,40대,50대,60대,70세 이상,상업지역,관광지,대형아울렛,사무지역,레저스포츠,주거지역 등,상업지역,관광지,대형아울렛,사무지역,레저스포츠,주거지역 등,상업지역,관광지,대형아울렛,사무지역,레저스포츠,주거지역 등
2019.02.4주차,"108,653,680 ","72,528,942 ","36,124,738 ","56,505,283 ","52,138,462 ","36,329,561 ","36,192,477 ","20,175,722 ","15,945,985 ","17,420,319 ","15,352,337 ","18,116,165 ","20,396,554 ","19,118,403 ","10,610,900 ","7,629,067 ","13,582,708 ","9,511,333 ","11,125,588 ","12,985,112 ","12,281,835 ","7,198,882 ","5,836,581 ","3,837,611 ","5,841,004 ","6,990,577 ","7,411,442 ","6,836,568 ","3,412,018 ","1,792,486 ","21,754,832 ","2,265,250 ","2,074,638 ","44,284,240 ","2,797,190 ","35,477,530 ","12,784,090 ","1,133,825 ","1,224,690 ","29,532,821 ","1,846,635 ","26,006,881 ","8,970,742 ","1,131,425 ","849,948 ","14,751,419 ","950,555 ","9,470,649 "
2019.03.1주차,"112,895,100 ","77,490,468 ","35,404,632 ","59,151,130 ","53,740,337 ","38,773,060 ","38,715,398 ","20,378,070 ","15,024,939 ","17,862,950 ","16,151,596 ","18,788,116 ","21,216,390 ","19,943,245 ","11,034,992 ","7,894,178 ","15,009,918 ","10,251,695 ","11,853,318 ","13,795,515 ","12,934,452 ","7,550,641 ","6,092,919 ","2,853,032 ","5,899,901 ","6,934,798 ","7,420,875 ","7,008,793 ","3,484,351 ","1,801,259 ","22,891,920 ","1,987,015 ","2,094,119 ","46,660,032 ","2,729,641 ","36,532,372 ","13,724,772 ","1,199,215 ","1,294,324 ","31,550,962 ","1,965,801 ","27,755,394 ","9,167,148 ","787,800 ","799,795 ","15,109,070 ","763,840 ","8,776,978 "
2019.03.2주차,"113,516,183 ","77,625,782 ","35,890,401 ","59,483,197 ","54,031,788 ","38,860,499 ","38,764,624 ","20,622,698 ","15,267,164 ","17,997,155 ","16,166,923 ","18,910,596 ","21,328,406 ","20,063,113 ","11,115,399 ","7,933,391 ","15,055,512 ","10,261,605 ","11,857,146 ","13,788,494 ","12,966,580 ","7,582,668 ","6,113,117 ","2,941,643 ","5,905,318 ","7,053,450 ","7,539,912 ","7,096,533 ","3,532,731 ","1,820,274 ","22,856,391 ","2,047,211 ","2,109,133 ","46,856,428 ","2,775,110 ","36,871,910 ","13,688,934 ","1,209,565 ","1,296,831 ","31,617,481 ","1,975,669 ","27,837,302 ","9,167,457 ","837,646 ","812,302 ","15,238,947 ","799,441 ","9,034,608 "
2019.03.3주차,"113,062,658 ","77,250,012 ","35,812,646 ","59,179,715 ","53,881,990 ","38,633,970 ","38,615,446 ","20,545,745 ","15,266,544 ","18,031,761 ","16,058,726 ","18,785,887 ","21,218,852 ","19,981,393 ","11,072,481 ","7,912,605 ","15,038,375 ","10,191,652 ","11,779,087 ","13,727,404 ","12,896,867 ","7,536,071 ","6,079,960 ","2,993,386 ","5,867,074 ","7,006,800 ","7,491,448 ","7,084,526 ","3,536,410 ","1,832,645 ","22,681,224 ","2,069,580 ","2,089,389 ","46,580,819 ","2,795,315 ","36,846,331 ","13,605,716 ","1,209,950 ","1,288,064 ","31,439,767 ","1,970,681 ","27,735,834 ","9,075,508 ","859,630 ","801,325 ","15,141,052 ","824,634 ","9,110,497 "
2019.03.4주차,"113,531,397 ","77,002,571 ","36,528,826 ","59,343,598 ","54,179,284 ","38,461,162 ","38,535,775 ","20,882,436 ","15,643,509 ","18,032,554 ","16,098,509 ","18,864,666 ","21,314,426 ","20,073,343 ","11,148,373 ","7,991,009 ","14,955,511 ","10,137,689 ","11,747,931 ","13,694,659 ","12,867,372 ","7,521,391 ","6,072,384 ","3,077,043 ","5,960,820 ","7,116,735 ","7,619,767 ","7,205,971 ","3,626,982 ","1,918,625 ","22,679,328 ","2,103,904 ","2,141,110 ","46,710,208 ","2,832,206 ","37,064,642 ","13,536,506 ","1,198,180 ","1,314,928 ","31,326,989 ","1,964,740 ","27,661,229 ","9,142,822 ","905,724 ","826,182 ","15,383,219 ","867,466 ","9,403,413 "
2019.04.1주차,"114,946,935 ","77,352,063 ","37,594,872 ","60,026,491 ","54,916,738 ","38,637,757 ","38,712,210 ","21,388,734 ","16,204,528 ","18,378,103 ","16,225,469 ","19,060,254 ","21,536,736 ","20,329,113 ","11,312,159 ","8,101,396 ","15,076,209 ","10,161,522 ","11,790,295 ","13,743,796 ","12,921,704 ","7,555,552 ","6,100,890 ","3,301,894 ","6,063,947 ","7,269,959 ","7,792,940 ","7,407,409 ","3,756,607 ","2,000,506 ","22,748,815 ","2,240,070 ","2,225,029 ","46,956,388 ","2,947,111 ","37,829,522 ","13,491,339 ","1,223,206 ","1,362,658 ","31,363,431 ","2,008,081 ","27,903,348 ","9,257,476 ","1,016,864 ","862,371 ","15,592,957 ","939,030 ","9,926,174 "
2019.04.2주차,"114,767,492 ","77,728,248 ","37,039,244 ","59,924,902 ","54,841,167 ","38,853,053 ","38,874,359 ","21,071,849 ","15,966,808 ","18,293,073 ","16,150,728 ","19,032,957 ","21,500,687 ","20,338,747 ","11,325,043 ","8,124,835 ","15,132,061 ","10,250,578 ","11,852,688 ","13,794,623 ","12,980,151 ","7,588,572 ","6,128,739 ","3,161,012 ","5,900,150 ","7,180,269 ","7,706,064 ","7,358,596 ","3,736,471 ","1,996,096 ","22,685,147 ","2,240,671 ","2,230,046 ","46,796,408 ","2,922,306 ","37,892,914 ","13,555,821 ","1,223,898 ","1,380,192 ","31,440,786 ","2,011,221 ","28,116,330 ","9,129,326 ","1,016,773 ","849,854 ","15,355,622 ","911,085 ","9,776,584 "
2019.04.3주차,"116,209,971 ","78,483,583 ","37,726,388 ","60,691,806 ","55,517,511 ","39,182,784 ","39,300,413 ","21,509,022 ","16,217,098 ","18,324,271 ","16,150,842 ","19,345,803 ","21,857,634 ","20,700,522 ","11,553,521 ","8,276,725 ","15,187,848 ","10,319,741 ","11,975,466 ","13,947,477 ","13,138,920 ","7,699,701 ","6,214,044 ","3,136,423 ","5,831,101 ","7,370,337 ","7,910,157 ","7,561,602 ","3,853,820 ","2,062,681 ","22,813,718 ","2,308,014 ","2,272,087 ","47,338,701 ","3,006,578 ","38,470,874 ","13,666,378 ","1,239,277 ","1,391,936 ","31,732,627 ","2,043,910 ","28,409,456 ","9,147,340 ","1,068,737 ","880,151 ","15,606,074 ","962,668 ","10,061,418 "
2019.04.4주차,"114,785,461 ","77,413,151 ","37,372,310 ","60,051,298 ","54,729,669 ","38,729,989 ","38,680,220 ","21,321,309 ","16,049,449 ","18,262,317 ","16,249,373 ","19,123,423 ","21,512,136 ","20,285,704 ","11,274,943 ","8,073,073 ","15,049,265 ","10,221,172 ","11,856,081 ","13,772,604 ","12,908,480 ","7,530,456 ","6,072,153 ","3,213,052 ","6,028,201 ","7,267,342 ","7,739,532 ","7,377,224 ","3,744,487 ","2,000,920 ","22,752,635 ","2,250,544 ","2,204,544 ","47,025,009 ","2,892,161 ","37,660,570 ","13,559,873 ","1,204,851 ","1,345,047 ","31,465,821 ","1,980,642 ","27,856,918 ","9,192,762 ","1,045,693 ","859,497 ","15,559,188 ","911,519 ","9,803,652 "
2019.05.1주차,"116,849,463 ","76,309,091 ","40,540,372 ","60,746,330 ","56,096,102 ","38,144,659 ","38,159,878 ","22,601,671 ","17,936,224 ","19,388,194 ","16,407,227 ","19,341,686 ","21,876,340 ","20,372,610 ","11,304,632 ","8,151,742 ","14,819,833 ","9,977,813 ","11,627,097 ","13,540,888 ","12,768,871 ","7,491,511 ","6,078,524 ","4,568,361 ","6,429,414 ","7,714,589 ","8,335,452 ","7,603,739 ","3,813,121 ","2,073,218 ","22,992,362 ","2,566,402 ","2,284,089 ","47,080,448 ","3,129,197 ","38,796,967 ","13,458,031 ","1,206,553 ","1,331,816 ","30,886,741 ","1,972,919 ","27,453,032 ","9,534,331 ","1,359,849 ","952,273 ","16,193,707 ","1,156,278 ","11,343,935 "
2019.05.2주차,"116,716,775 ","76,786,718 ","39,930,057 ","60,603,818 ","56,110,381 ","38,313,986 ","38,471,281 ","22,289,832 ","17,639,100 ","19,191,305 ","16,427,296 ","19,282,481 ","21,741,106 ","20,443,218 ","11,399,972 ","8,228,822 ","14,899,113 ","10,041,418 ","11,686,480 ","13,612,498 ","12,852,578 ","7,555,351 ","6,137,829 ","4,292,192 ","6,385,878 ","7,596,001 ","8,128,608 ","7,590,640 ","3,844,621 ","2,090,993 ","22,937,653 ","2,468,582 ","2,299,184 ","46,943,526 ","3,131,475 ","38,936,354 ","13,454,371 ","1,221,877 ","1,356,106 ","30,970,422 ","2,007,913 ","27,776,029 ","9,483,282 ","1,246,705 ","943,078 ","15,973,104 ","1,123,562 ","11,160,325 "
2019.05.3주차,"116,300,057 ","78,437,684 ","37,862,373 ","60,758,305 ","55,540,880 ","39,171,728 ","39,265,437 ","21,586,577 ","16,275,443 ","18,728,279 ","16,462,492 ","19,249,411 ","21,797,398 ","20,542,536 ","11,375,337 ","8,143,732 ","15,268,836 ","10,335,621 ","11,985,193 ","13,944,131 ","13,104,049 ","7,637,622 ","6,161,713 ","3,459,443 ","6,126,871 ","7,264,218 ","7,853,267 ","7,438,487 ","3,737,715 ","1,982,019 ","23,172,943 ","2,264,849 ","2,249,303 ","47,509,323 ","2,942,556 ","38,161,083 ","13,751,725 ","1,224,686 ","1,378,607 ","31,787,976 ","2,013,781 ","28,280,909 ","9,421,218 ","1,040,163 ","870,696 ","15,721,347 ","928,775 ","9,880,174 "
2019.05.4주차,"117,328,088 ","78,856,588 ","38,471,500 ","61,283,770 ","56,043,367 ","39,367,330 ","39,488,682 ","21,916,440 ","16,554,685 ","18,881,961 ","16,610,012 ","19,472,401 ","22,022,306 ","20,708,984 ","11,453,411 ","8,178,059 ","15,396,463 ","10,393,123 ","12,040,499 ","14,012,656 ","13,152,773 ","7,671,471 ","6,189,025 ","3,485,498 ","6,216,889 ","7,431,902 ","8,009,650 ","7,556,211 ","3,781,940 ","1,989,034 ","23,370,418 ","2,319,162 ","2,236,115 ","47,933,071 ","2,984,402 ","38,484,921 ","13,881,318 ","1,232,137 ","1,360,992 ","31,985,705 ","2,029,034 ","28,367,402 ","9,489,100 ","1,087,025 ","875,123 ","15,947,366 ","955,368 ","10,117,519 "
