4-1. 시도별 이동량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관내/외 합계,,,,,,,,,,,,,,,,,관내,,,,,,,,,,,,,,,,,관외,,,,,,,,,,,,,,,,
시도별,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주
2019.07.4주차,"23,575,875 ","8,091,590 ","5,532,195 ","6,284,681 ","3,390,387 ","3,339,629 ","2,618,201 ","515,390 ","26,193,169 ","3,701,014 ","3,320,152 ","4,341,636 ","3,985,708 ","3,852,293 ","5,758,191 ","7,149,495 ","1,691,896 ","14,123,345 ","5,142,083 ","3,655,839 ","4,319,667 ","2,337,471 ","2,240,457 ","1,822,984 ","384,425 ","18,079,126 ","2,558,355 ","2,245,436 ","3,048,173 ","2,965,877 ","2,754,719 ","4,129,599 ","5,207,704 ","1,204,507 ","9,452,530 ","2,949,507 ","1,876,356 ","1,965,014 ","1,052,916 ","1,099,172 ","795,217 ","130,965 ","8,114,043 ","1,142,659 ","1,074,716 ","1,293,463 ","1,019,831 ","1,097,574 ","1,628,592 ","1,941,791 ","487,389 "
2019.08.1주차,"22,877,287 ","7,944,056 ","5,291,802 ","6,166,111 ","3,260,512 ","3,290,957 ","2,452,181 ","516,249 ","25,796,288 ","4,593,726 ","3,450,378 ","4,644,921 ","4,176,184 ","4,230,202 ","6,079,140 ","7,273,395 ","1,801,911 ","13,542,886 ","4,888,193 ","3,454,778 ","4,098,978 ","2,207,628 ","2,166,021 ","1,642,570 ","371,845 ","17,208,219 ","2,494,065 ","2,170,669 ","2,953,367 ","2,848,230 ","2,656,744 ","3,962,572 ","4,949,514 ","1,185,700 ","9,334,401 ","3,055,863 ","1,837,024 ","2,067,133 ","1,052,884 ","1,124,936 ","809,611 ","144,404 ","8,588,069 ","2,099,661 ","1,279,709 ","1,691,554 ","1,327,954 ","1,573,458 ","2,116,568 ","2,323,881 ","616,211 "
2019.08.2주차,"22,835,721 ","7,807,608 ","5,312,032 ","6,189,113 ","3,274,491 ","3,260,464 ","2,344,384 ","508,428 ","25,971,569 ","4,150,776 ","3,341,117 ","4,386,757 ","4,010,613 ","3,901,155 ","5,752,683 ","6,979,700 ","1,712,948 ","13,746,593 ","4,968,264 ","3,538,665 ","4,236,257 ","2,272,558 ","2,188,802 ","1,622,690 ","382,117 ","17,736,047 ","2,515,786 ","2,196,896 ","2,967,551 ","2,892,015 ","2,689,297 ","4,007,295 ","4,996,990 ","1,175,666 ","9,089,128 ","2,839,344 ","1,773,367 ","1,952,856 ","1,001,933 ","1,071,662 ","721,694 ","126,311 ","8,235,522 ","1,634,990 ","1,144,221 ","1,419,206 ","1,118,598 ","1,211,858 ","1,745,388 ","1,982,710 ","537,282 "
2019.08.3주차,"21,404,230 ","7,903,633 ","5,462,096 ","6,042,406 ","3,329,978 ","3,304,578 ","2,445,511 ","516,822 ","25,935,960 ","4,118,788 ","3,377,274 ","4,480,886 ","4,054,856 ","3,957,229 ","5,816,622 ","7,176,067 ","1,756,503 ","13,136,428 ","5,024,534 ","3,622,534 ","4,130,023 ","2,301,320 ","2,211,811 ","1,695,424 ","386,577 ","17,766,559 ","2,537,277 ","2,233,019 ","3,032,172 ","2,927,542 ","2,714,068 ","4,077,517 ","5,161,653 ","1,204,851 ","8,267,802 ","2,879,099 ","1,839,562 ","1,912,383 ","1,028,658 ","1,092,767 ","750,087 ","130,245 ","8,169,401 ","1,581,511 ","1,144,255 ","1,448,714 ","1,127,314 ","1,243,161 ","1,739,105 ","2,014,414 ","551,652 "
2019.08.4주차,"21,684,379 ","7,919,416 ","5,491,035 ","5,792,366 ","3,376,427 ","3,379,531 ","2,447,179 ","537,401 ","25,234,179 ","3,933,714 ","3,438,387 ","4,512,340 ","4,056,587 ","3,857,603 ","5,782,414 ","7,134,301 ","1,730,633 ","13,140,281 ","5,073,404 ","3,650,452 ","3,988,146 ","2,341,241 ","2,257,596 ","1,702,405 ","400,083 ","17,378,751 ","2,598,439 ","2,280,319 ","3,100,607 ","2,990,021 ","2,761,410 ","4,135,884 ","5,199,484 ","1,212,956 ","8,544,098 ","2,846,012 ","1,840,583 ","1,804,220 ","1,035,186 ","1,121,935 ","744,774 ","137,318 ","7,855,428 ","1,335,275 ","1,158,068 ","1,411,733 ","1,066,566 ","1,096,193 ","1,646,530 ","1,934,817 ","517,677 "
2019.08.5주차,"24,007,599 ","8,116,218 ","5,601,814 ","6,418,292 ","3,423,938 ","3,433,638 ","2,551,264 ","548,918 ","26,905,998 ","3,670,586 ","3,489,814 ","4,558,515 ","4,069,298 ","3,788,980 ","5,757,482 ","7,140,972 ","1,653,385 ","14,253,826 ","5,191,251 ","3,700,886 ","4,370,038 ","2,360,170 ","2,272,382 ","1,779,007 ","403,892 ","18,332,897 ","2,595,951 ","2,312,555 ","3,111,882 ","3,016,780 ","2,761,880 ","4,147,399 ","5,239,989 ","1,186,580 ","9,753,773 ","2,924,967 ","1,900,928 ","2,048,254 ","1,063,768 ","1,161,256 ","772,257 ","145,026 ","8,573,101 ","1,074,635 ","1,177,259 ","1,446,633 ","1,052,518 ","1,027,100 ","1,610,083 ","1,900,983 ","466,805 "
2019.09.1주차,"24,060,548 ","8,082,449 ","5,546,096 ","6,350,683 ","3,411,661 ","3,401,348 ","2,549,335 ","536,959 ","26,819,160 ","3,646,098 ","3,415,842 ","4,444,590 ","4,016,418 ","3,762,288 ","5,647,882 ","7,014,536 ","1,615,136 ","14,372,429 ","5,235,192 ","3,700,250 ","4,381,143 ","2,368,607 ","2,278,293 ","1,792,665 ","403,831 ","18,392,211 ","2,617,927 ","2,315,653 ","3,124,487 ","3,023,322 ","2,783,834 ","4,163,695 ","5,245,931 ","1,198,387 ","9,688,119 ","2,847,257 ","1,845,846 ","1,969,540 ","1,043,054 ","1,123,055 ","756,670 ","133,128 ","8,426,949 ","1,028,171 ","1,100,189 ","1,320,103 ","993,096 ","978,454 ","1,484,187 ","1,768,605 ","416,749 "
2019.09.2주차,"20,506,824 ","7,865,249 ","5,395,171 ","5,799,055 ","3,245,404 ","3,126,125 ","2,370,548 ","486,947 ","24,329,815 ","3,630,309 ","3,486,411 ","4,579,676 ","4,226,774 ","4,216,470 ","5,973,942 ","7,122,867 ","1,504,151 ","12,378,800 ","4,755,056 ","3,334,928 ","3,785,821 ","2,077,946 ","1,979,611 ","1,574,246 ","329,628 ","15,866,546 ","2,297,160 ","2,060,184 ","2,735,978 ","2,699,584 ","2,533,035 ","3,734,826 ","4,693,968 ","1,096,184 ","8,128,024 ","3,110,193 ","2,060,243 ","2,013,234 ","1,167,458 ","1,146,514 ","796,302 ","157,319 ","8,463,269 ","1,333,149 ","1,426,227 ","1,843,698 ","1,527,190 ","1,683,435 ","2,239,116 ","2,428,899 ","407,967 "
2019.09.3주차,"24,599,099 ","8,238,156 ","5,662,552 ","6,476,350 ","3,461,788 ","3,447,691 ","2,586,929 ","536,547 ","27,247,603 ","3,456,428 ","3,431,730 ","4,455,618 ","4,019,691 ","3,708,491 ","5,629,151 ","7,028,037 ","1,602,390 ","14,615,245 ","5,357,100 ","3,760,247 ","4,468,360 ","2,386,513 ","2,309,338 ","1,826,662 ","405,619 ","18,718,793 ","2,645,783 ","2,350,034 ","3,171,699 ","3,063,327 ","2,805,940 ","4,220,485 ","5,316,648 ","1,210,487 ","9,983,854 ","2,881,056 ","1,902,305 ","2,007,990 ","1,075,275 ","1,138,353 ","760,267 ","130,928 ","8,528,810 ","810,645 ","1,081,696 ","1,283,919 ","956,364 ","902,551 ","1,408,666 ","1,711,389 ","391,903 "
2019.09.4주차,"23,572,640 ","7,918,339 ","5,388,743 ","6,250,730 ","3,327,945 ","3,306,365 ","2,507,596 ","522,713 ","26,265,669 ","3,407,502 ","3,345,985 ","4,432,684 ","3,939,872 ","3,698,029 ","5,531,362 ","6,868,509 ","1,606,865 ","14,120,546 ","5,168,462 ","3,612,069 ","4,313,872 ","2,302,027 ","2,231,838 ","1,776,501 ","391,935 ","18,093,898 ","2,549,147 ","2,279,501 ","3,081,713 ","2,970,509 ","2,733,562 ","4,086,248 ","5,161,090 ","1,182,953 ","9,452,094 ","2,749,877 ","1,776,674 ","1,936,858 ","1,025,918 ","1,074,527 ","731,095 ","130,778 ","8,171,771 ","858,355 ","1,066,484 ","1,350,971 ","969,363 ","964,467 ","1,445,114 ","1,707,419 ","423,912 "
2019.10.1주차,"23,623,775 ","7,858,679 ","5,381,936 ","6,344,266 ","3,290,857 ","3,254,669 ","2,465,927 ","521,498 ","26,484,776 ","3,506,957 ","3,346,415 ","4,460,397 ","3,960,225 ","3,685,681 ","5,525,455 ","6,855,916 ","1,574,210 ","14,131,551 ","5,101,314 ","3,586,793 ","4,326,475 ","2,280,396 ","2,196,630 ","1,745,789 ","388,958 ","18,099,429 ","2,494,939 ","2,251,032 ","3,030,950 ","2,925,444 ","2,672,079 ","4,007,350 ","5,075,174 ","1,158,341 ","9,492,224 ","2,757,365 ","1,795,143 ","2,017,791 ","1,010,461 ","1,058,039 ","720,138 ","132,540 ","8,385,347 ","1,012,018 ","1,095,383 ","1,429,447 ","1,034,781 ","1,013,602 ","1,518,105 ","1,780,742 ","415,869 "
2019.10.2주차,"23,424,735 ","7,973,456 ","5,459,368 ","6,278,726 ","3,292,469 ","3,283,080 ","2,518,314 ","534,839 ","26,308,195 ","3,517,551 ","3,375,810 ","4,426,642 ","3,996,251 ","3,791,652 ","5,643,415 ","7,020,089 ","1,675,930 ","14,133,683 ","5,159,039 ","3,638,070 ","4,325,881 ","2,295,008 ","2,219,676 ","1,774,738 ","399,845 ","18,125,033 ","2,551,419 ","2,281,692 ","3,068,326 ","2,959,117 ","2,738,399 ","4,099,906 ","5,189,890 ","1,200,096 ","9,291,052 ","2,814,417 ","1,821,298 ","1,952,845 ","997,461 ","1,063,404 ","743,576 ","134,994 ","8,183,162 ","966,132 ","1,094,118 ","1,358,316 ","1,037,134 ","1,053,253 ","1,543,509 ","1,830,199 ","475,834 "
2019.10.3주차,"24,496,314 ","8,209,595 ","5,659,684 ","6,506,029 ","3,470,222 ","3,430,869 ","2,628,076 ","550,350 ","27,228,220 ","3,675,488 ","3,505,936 ","4,547,192 ","4,131,619 ","3,892,739 ","5,771,041 ","7,151,813 ","1,743,117 ","14,546,836 ","5,326,171 ","3,757,335 ","4,458,989 ","2,400,388 ","2,283,570 ","1,840,748 ","412,340 ","18,636,997 ","2,637,300 ","2,346,929 ","3,154,846 ","3,069,192 ","2,821,054 ","4,211,263 ","5,312,616 ","1,223,557 ","9,949,478 ","2,883,424 ","1,902,349 ","2,047,040 ","1,069,834 ","1,147,299 ","787,328 ","138,010 ","8,591,223 ","1,038,188 ","1,159,007 ","1,392,346 ","1,062,427 ","1,071,685 ","1,559,778 ","1,839,197 ","519,560 "
2019.10.4주차,"24,473,433 ","8,129,217 ","5,637,275 ","6,468,006 ","3,446,679 ","3,401,120 ","2,599,643 ","544,563 ","27,136,988 ","3,684,680 ","3,499,611 ","4,545,580 ","4,102,552 ","3,941,726 ","5,786,056 ","7,190,844 ","1,696,212 ","14,448,919 ","5,253,449 ","3,719,338 ","4,426,128 ","2,373,506 ","2,262,432 ","1,814,943 ","407,222 ","18,532,744 ","2,618,586 ","2,328,691 ","3,133,956 ","3,010,303 ","2,804,921 ","4,175,218 ","5,276,695 ","1,190,626 ","10,024,514 ","2,875,768 ","1,917,937 ","2,041,878 ","1,073,173 ","1,138,688 ","784,700 ","137,341 ","8,604,244 ","1,066,094 ","1,170,920 ","1,411,624 ","1,092,249 ","1,136,805 ","1,610,838 ","1,914,149 ","505,586 "
2019.10.5주차,"24,576,463 ","8,292,062 ","5,701,311 ","6,497,180 ","3,505,945 ","3,429,510 ","2,640,920 ","548,037 ","27,269,896 ","3,601,160 ","3,517,061 ","4,556,141 ","4,225,279 ","3,984,807 ","5,843,151 ","7,271,627 ","1,654,778 ","14,507,084 ","5,322,174 ","3,751,266 ","4,436,123 ","2,410,879 ","2,283,634 ","1,833,650 ","408,920 ","18,600,434 ","2,627,419 ","2,334,858 ","3,143,433 ","3,075,254 ","2,818,133 ","4,191,975 ","5,317,740 ","1,183,108 ","10,069,379 ","2,969,888 ","1,950,045 ","2,061,057 ","1,095,066 ","1,145,876 ","807,270 ","139,117 ","8,669,462 ","973,741 ","1,182,203 ","1,412,708 ","1,150,025 ","1,166,674 ","1,651,176 ","1,953,887 ","471,670 "
2019.11.1주차,"24,324,717 ","8,255,197 ","5,664,738 ","6,405,540 ","3,468,044 ","3,396,416 ","2,607,598 ","544,214 ","26,938,300 ","3,477,392 ","3,448,121 ","4,471,041 ","4,129,709 ","3,867,538 ","5,707,063 ","7,170,046 ","1,639,677 ","14,445,353 ","5,332,493 ","3,745,290 ","4,429,076 ","2,391,526 ","2,276,084 ","1,830,049 ","409,130 ","18,560,461 ","2,626,032 ","2,331,873 ","3,134,905 ","3,054,998 ","2,813,390 ","4,189,863 ","5,328,574 ","1,184,518 ","9,879,364 ","2,922,704 ","1,919,448 ","1,976,464 ","1,076,518 ","1,120,332 ","777,549 ","135,084 ","8,377,839 ","851,360 ","1,116,248 ","1,336,136 ","1,074,711 ","1,054,148 ","1,517,200 ","1,841,472 ","455,159 "
2019.11.2주차,"24,057,151 ","8,328,796 ","5,648,412 ","6,328,347 ","3,467,825 ","3,386,349 ","2,613,103 ","543,216 ","26,590,085 ","3,395,572 ","3,407,963 ","4,407,795 ","4,066,497 ","3,815,083 ","5,649,391 ","7,152,999 ","1,632,694 ","14,344,104 ","5,346,024 ","3,737,501 ","4,395,954 ","2,389,243 ","2,273,061 ","1,833,872 ","408,059 ","18,439,251 ","2,600,048 ","2,315,973 ","3,117,202 ","3,040,698 ","2,811,408 ","4,173,112 ","5,332,148 ","1,192,850 ","9,713,047 ","2,982,772 ","1,910,911 ","1,932,393 ","1,078,582 ","1,113,288 ","779,231 ","135,157 ","8,150,834 ","795,524 ","1,091,990 ","1,290,593 ","1,025,799 ","1,003,675 ","1,476,279 ","1,820,851 ","439,844 "
2019.11.3주차,"24,258,079 ","8,286,939 ","5,640,759 ","6,360,469 ","3,467,896 ","3,406,815 ","2,611,580 ","544,113 ","26,695,796 ","3,386,886 ","3,398,447 ","4,445,234 ","4,058,368 ","3,793,387 ","5,648,196 ","7,121,466 ","1,608,544 ","14,416,924 ","5,343,103 ","3,730,318 ","4,406,596 ","2,394,038 ","2,281,998 ","1,835,183 ","407,899 ","18,489,631 ","2,604,557 ","2,323,975 ","3,126,984 ","3,033,376 ","2,803,735 ","4,176,031 ","5,324,917 ","1,184,756 ","9,841,155 ","2,943,836 ","1,910,441 ","1,953,873 ","1,073,858 ","1,124,817 ","776,397 ","136,214 ","8,206,165 ","782,329 ","1,074,472 ","1,318,250 ","1,024,992 ","989,652 ","1,472,165 ","1,796,549 ","423,788 "
2019.11.4주차,"24,355,612 ","8,249,610 ","5,622,626 ","6,391,890 ","3,492,862 ","3,413,658 ","2,568,284 ","546,648 ","26,706,164 ","3,351,699 ","3,375,615 ","4,370,569 ","4,019,273 ","3,739,828 ","5,562,211 ","7,066,606 ","1,572,819 ","14,418,256 ","5,314,989 ","3,717,088 ","4,408,855 ","2,398,997 ","2,279,935 ","1,807,462 ","409,571 ","18,491,231 ","2,601,674 ","2,322,620 ","3,116,984 ","3,026,422 ","2,789,058 ","4,144,415 ","5,301,092 ","1,180,176 ","9,937,356 ","2,934,621 ","1,905,538 ","1,983,035 ","1,093,865 ","1,133,723 ","760,822 ","137,077 ","8,214,933 ","750,025 ","1,052,995 ","1,253,585 ","992,851 ","950,770 ","1,417,796 ","1,765,514 ","392,643 "
2019.12.1주차,"24,064,146 ","8,245,448 ","5,606,363 ","6,320,867 ","3,427,790 ","3,404,108 ","2,574,702 ","538,670 ","26,353,738 ","3,352,198 ","3,325,226 ","4,292,787 ","3,979,599 ","3,717,421 ","5,503,408 ","7,040,996 ","1,550,252 ","14,321,630 ","5,322,427 ","3,718,155 ","4,390,983 ","2,356,501 ","2,276,210 ","1,814,963 ","408,833 ","18,384,873 ","2,597,460 ","2,308,143 ","3,105,718 ","3,028,000 ","2,787,367 ","4,143,731 ","5,294,911 ","1,175,502 ","9,742,516 ","2,923,021 ","1,888,208 ","1,929,884 ","1,071,289 ","1,127,898 ","759,739 ","129,837 ","7,968,865 ","754,738 ","1,017,083 ","1,187,069 ","951,599 ","930,054 ","1,359,677 ","1,746,085 ","374,750 "
2019.12.2주차,"24,425,887 ","8,351,124 ","5,667,836 ","6,379,957 ","3,448,601 ","3,436,911 ","2,597,940 ","547,665 ","26,585,246 ","3,408,465 ","3,360,768 ","4,346,992 ","4,007,953 ","3,751,888 ","5,543,373 ","7,093,639 ","1,590,733 ","14,442,909 ","5,361,596 ","3,743,826 ","4,412,501 ","2,372,287 ","2,292,421 ","1,831,260 ","414,041 ","18,499,747 ","2,617,471 ","2,325,916 ","3,135,932 ","3,052,383 ","2,811,845 ","4,176,707 ","5,336,328 ","1,189,875 ","9,982,978 ","2,989,528 ","1,924,010 ","1,967,456 ","1,076,314 ","1,144,490 ","766,680 ","133,624 ","8,085,499 ","790,994 ","1,034,852 ","1,211,060 ","955,570 ","940,043 ","1,366,666 ","1,757,311 ","400,858 "
2019.12.3주차,"24,621,293 ","8,413,919 ","5,707,245 ","6,408,277 ","3,464,853 ","3,441,406 ","2,631,390 ","546,087 ","26,586,497 ","3,416,109 ","3,348,601 ","4,314,652 ","3,990,685 ","3,728,929 ","5,553,728 ","7,105,526 ","1,595,922 ","14,468,122 ","5,365,538 ","3,753,418 ","4,425,361 ","2,375,071 ","2,290,445 ","1,844,723 ","412,170 ","18,493,932 ","2,612,341 ","2,323,063 ","3,127,629 ","3,045,716 ","2,809,554 ","4,181,008 ","5,346,957 ","1,186,059 ","10,153,171 ","3,048,381 ","1,953,827 ","1,982,916 ","1,089,782 ","1,150,961 ","786,667 ","133,917 ","8,092,565 ","803,768 ","1,025,538 ","1,187,023 ","944,969 ","919,375 ","1,372,720 ","1,758,569 ","409,863 "
2019.12.4주차,"24,139,250 ","8,363,939 ","5,688,044 ","6,425,032 ","3,436,421 ","3,386,019 ","2,619,125 ","536,593 ","26,548,821 ","3,536,690 ","3,294,856 ","4,260,443 ","3,967,733 ","3,757,238 ","5,516,504 ","7,064,673 ","1,632,187 ","14,327,865 ","5,281,286 ","3,698,101 ","4,395,169 ","2,341,626 ","2,245,820 ","1,816,620 ","400,873 ","18,342,009 ","2,548,019 ","2,268,411 ","3,054,063 ","2,980,322 ","2,757,724 ","4,068,505 ","5,237,504 ","1,169,642 ","9,811,385 ","3,082,653 ","1,989,943 ","2,029,863 ","1,094,795 ","1,140,199 ","802,505 ","135,720 ","8,206,812 ","988,671 ","1,026,445 ","1,206,380 ","987,411 ","999,514 ","1,447,999 ","1,827,169 ","462,545 "
2020.01.1주차,"22,622,696 ","7,983,045 ","5,388,321 ","6,124,349 ","3,300,601 ","3,212,961 ","2,487,965 ","535,242 ","25,562,879 ","3,734,198 ","3,215,731 ","4,168,585 ","3,756,488 ","3,735,109 ","5,469,779 ","6,898,904 ","1,611,042 ","13,456,998 ","4,971,814 ","3,489,574 ","4,096,833 ","2,218,289 ","2,112,591 ","1,690,862 ","372,775 ","17,308,230 ","2,452,844 ","2,185,918 ","2,908,243 ","2,758,075 ","2,654,277 ","3,883,326 ","4,968,920 ","1,105,077 ","9,165,698 ","3,011,231 ","1,898,747 ","2,027,516 ","1,082,312 ","1,100,370 ","797,103 ","162,467 ","8,254,649 ","1,281,354 ","1,029,813 ","1,260,342 ","998,413 ","1,080,832 ","1,586,453 ","1,929,984 ","505,965 "
2020.01.2주차,"22,858,668 ","7,852,997 ","5,361,510 ","5,979,259 ","3,304,847 ","3,187,773 ","2,480,991 ","537,812 ","25,334,188 ","3,435,384 ","3,191,228 ","4,084,361 ","3,690,351 ","3,582,034 ","5,309,901 ","6,812,069 ","1,593,682 ","13,260,386 ","4,957,912 ","3,484,287 ","3,997,259 ","2,220,269 ","2,084,526 ","1,715,259 ","367,523 ","16,966,230 ","2,444,291 ","2,172,234 ","2,885,743 ","2,749,144 ","2,643,161 ","3,916,169 ","5,007,240 ","1,119,029 ","9,598,282 ","2,895,085 ","1,877,223 ","1,982,000 ","1,084,578 ","1,103,247 ","765,732 ","170,289 ","8,367,958 ","991,093 ","1,018,994 ","1,198,618 ","941,207 ","938,873 ","1,393,732 ","1,804,829 ","474,653 "
2020.01.3주차,"23,010,631 ","7,899,457 ","5,379,937 ","6,007,187 ","3,309,360 ","3,219,946 ","2,489,784 ","544,663 ","25,345,317 ","3,442,659 ","3,196,610 ","4,113,195 ","3,742,098 ","3,635,833 ","5,358,300 ","6,871,398 ","1,636,209 ","13,262,936 ","4,972,884 ","3,484,675 ","3,997,948 ","2,218,125 ","2,093,704 ","1,718,667 ","367,512 ","16,866,092 ","2,436,563 ","2,162,068 ","2,894,887 ","2,777,883 ","2,665,410 ","3,948,614 ","5,033,524 ","1,146,193 ","9,747,695 ","2,926,573 ","1,895,262 ","2,009,239 ","1,091,235 ","1,126,242 ","771,117 ","177,151 ","8,479,225 ","1,006,096 ","1,034,542 ","1,218,308 ","964,215 ","970,423 ","1,409,686 ","1,837,874 ","490,016 "
2020.01.4주차,"21,128,747 ","7,902,274 ","5,409,831 ","5,906,974 ","3,273,317 ","3,120,211 ","2,425,771 ","520,459 ","24,585,843 ","3,655,296 ","3,438,323 ","4,436,229 ","4,085,892 ","4,143,710 ","5,895,736 ","7,204,799 ","1,559,104 ","12,368,944 ","4,790,412 ","3,350,250 ","3,795,357 ","2,095,850 ","1,968,911 ","1,612,435 ","330,961 ","15,791,848 ","2,355,175 ","2,088,220 ","2,752,729 ","2,685,092 ","2,597,237 ","3,814,013 ","4,818,285 ","1,124,946 ","8,759,803 ","3,111,862 ","2,059,581 ","2,111,617 ","1,177,467 ","1,151,300 ","813,336 ","189,498 ","8,793,995 ","1,300,121 ","1,350,103 ","1,683,500 ","1,400,800 ","1,546,473 ","2,081,723 ","2,386,514 ","434,158 "
2020.01.5주차,"21,616,396 ","7,692,424 ","5,276,587 ","5,841,691 ","3,252,178 ","3,126,036 ","2,410,136 ","516,137 ","24,274,099 ","3,299,033 ","3,104,818 ","3,938,513 ","3,650,074 ","3,542,576 ","5,211,682 ","6,690,820 ","1,465,670 ","13,257,359 ","4,992,314 ","3,494,663 ","4,015,065 ","2,218,660 ","2,091,267 ","1,699,067 ","362,999 ","16,716,716 ","2,384,223 ","2,141,940 ","2,836,383 ","2,736,659 ","2,605,366 ","3,871,200 ","4,971,829 ","1,114,916 ","8,359,037 ","2,700,110 ","1,781,924 ","1,826,626 ","1,033,518 ","1,034,769 ","711,069 ","153,138 ","7,557,383 ","914,810 ","962,878 ","1,102,130 ","913,415 ","937,210 ","1,340,482 ","1,718,991 ","350,754 "
2020.02.1주차,"22,255,172 ","7,887,603 ","5,357,553 ","5,925,225 ","3,061,996 ","3,212,144 ","2,501,861 ","517,047 ","24,475,788 ","3,132,021 ","3,123,569 ","3,981,955 ","3,688,090 ","3,477,877 ","5,293,996 ","6,837,882 ","1,373,010 ","13,813,717 ","5,227,943 ","3,630,978 ","4,212,471 ","2,197,729 ","2,195,381 ","1,783,882 ","393,107 ","17,434,910 ","2,429,925 ","2,217,844 ","2,964,234 ","2,859,159 ","2,662,425 ","4,032,324 ","5,200,826 ","1,123,180 ","8,441,455 ","2,659,660 ","1,726,575 ","1,712,754 ","864,267 ","1,016,763 ","717,979 ","123,940 ","7,040,878 ","702,096 ","905,725 ","1,017,721 ","828,931 ","815,452 ","1,261,672 ","1,637,056 ","249,830 "
2020.02.2주차,"22,286,576 ","7,903,353 ","5,368,429 ","5,934,651 ","3,112,481 ","3,207,468 ","2,509,354 ","521,964 ","24,649,642 ","3,207,350 ","3,144,575 ","4,014,752 ","3,699,166 ","3,505,496 ","5,345,072 ","6,845,552 ","1,397,715 ","13,648,919 ","5,184,446 ","3,595,049 ","4,179,438 ","2,201,719 ","2,172,586 ","1,778,860 ","390,936 ","17,343,249 ","2,439,969 ","2,207,080 ","2,942,383 ","2,843,609 ","2,650,541 ","4,014,902 ","5,163,328 ","1,130,039 ","8,637,657 ","2,718,907 ","1,773,380 ","1,755,213 ","910,762 ","1,034,882 ","730,494 ","131,028 ","7,306,393 ","767,381 ","937,495 ","1,072,369 ","855,557 ","854,955 ","1,330,170 ","1,682,224 ","267,676 "
2020.02.3주차,"21,588,146 ","7,489,986 ","4,464,655 ","5,777,750 ","3,041,738 ","3,047,948 ","2,405,127 ","506,981 ","24,202,846 ","3,091,463 ","3,023,397 ","3,905,081 ","3,528,980 ","3,427,786 ","4,842,729 ","6,529,168 ","1,422,135 ","13,332,109 ","5,047,931 ","3,242,501 ","4,094,910 ","2,169,425 ","2,101,366 ","1,728,640 ","381,038 ","17,117,989 ","2,369,997 ","2,156,163 ","2,887,748 ","2,756,296 ","2,597,264 ","3,766,613 ","4,992,785 ","1,098,420 ","8,256,037 ","2,442,055 ","1,222,154 ","1,682,840 ","872,313 ","946,582 ","676,487 ","125,943 ","7,084,857 ","721,466 ","867,234 ","1,017,333 ","772,684 ","830,522 ","1,076,116 ","1,536,383 ","323,715 "
2020.02.4주차,"19,448,959 ","6,374,770 ","3,898,667 ","5,403,021 ","2,840,770 ","2,697,747 ","2,111,543 ","475,222 ","22,518,974 ","2,741,976 ","2,774,654 ","3,598,982 ","3,356,136 ","3,254,861 ","4,298,335 ","5,891,501 ","1,259,971 ","12,579,008 ","4,598,908 ","2,995,941 ","3,891,085 ","2,065,476 ","1,946,659 ","1,577,012 ","356,495 ","16,234,630 ","2,196,062 ","2,024,705 ","2,726,493 ","2,644,690 ","2,492,580 ","3,445,002 ","4,619,833 ","1,041,437 ","6,869,951 ","1,775,862 ","902,726 ","1,511,936 ","775,294 ","751,088 ","534,531 ","118,727 ","6,284,344 ","545,914 ","749,949 ","872,489 ","711,446 ","762,281 ","853,333 ","1,271,668 ","218,534 "
2020.03.1주차,"19,230,481 ","6,510,660 ","3,974,189 ","5,400,021 ","2,840,701 ","2,716,230 ","2,152,219 ","476,274 ","22,708,850 ","2,770,605 ","2,847,054 ","3,633,188 ","3,413,127 ","3,268,496 ","4,401,517 ","6,034,772 ","1,270,854 ","12,540,054 ","4,631,935 ","3,030,648 ","3,886,239 ","2,066,027 ","1,953,157 ","1,590,818 ","355,826 ","16,290,279 ","2,203,196 ","2,048,290 ","2,730,294 ","2,665,280 ","2,477,889 ","3,492,252 ","4,672,529 ","1,053,647 ","6,690,427 ","1,878,725 ","943,541 ","1,513,782 ","774,674 ","763,073 ","561,401 ","120,448 ","6,418,571 ","567,409 ","798,764 ","902,894 ","747,847 ","790,607 ","909,265 ","1,362,243 ","217,207 "
