4-1. 시도별 이동량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관내/외 합계,,,,,,,,,,,,,,,,,관내,,,,,,,,,,,,,,,,,관외,,,,,,,,,,,,,,,,
시도별,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주
2019.03.1주차,"24,178,087 ","8,182,436 ","5,553,371 ","6,339,972 ","3,427,594 ","3,364,167 ","2,595,817 ","520,444 ","26,509,312 ","3,225,281 ","3,282,799 ","4,280,649 ","3,904,830 ","3,620,882 ","5,456,416 ","6,910,858 ","1,542,183 ","14,414,560 ","5,338,938 ","3,707,198 ","4,381,778 ","2,380,791 ","2,268,762 ","1,849,450 ","393,090 ","18,406,939 ","2,565,639 ","2,292,663 ","3,119,036 ","3,011,156 ","2,765,454 ","4,150,299 ","5,234,653 ","1,210,059 ","9,763,527 ","2,843,498 ","1,846,173 ","1,958,194 ","1,046,803 ","1,095,405 ","746,367 ","127,354 ","8,102,373 ","659,642 ","990,136 ","1,161,613 ","893,674 ","855,428 ","1,306,117 ","1,676,205 ","332,124 "
2019.03.2주차,"24,172,502 ","8,243,628 ","5,595,023 ","6,359,142 ","3,434,631 ","3,371,495 ","2,629,213 ","524,354 ","26,494,462 ","3,226,090 ","3,284,673 ","4,318,589 ","3,945,936 ","3,725,926 ","5,535,688 ","7,058,254 ","1,596,567 ","14,396,282 ","5,338,011 ","3,719,886 ","4,386,107 ","2,379,562 ","2,270,074 ","1,859,283 ","394,838 ","18,407,489 ","2,570,845 ","2,291,088 ","3,123,872 ","3,022,572 ","2,788,943 ","4,168,312 ","5,280,052 ","1,228,564 ","9,776,220 ","2,905,617 ","1,875,137 ","1,973,035 ","1,055,069 ","1,101,421 ","769,930 ","129,516 ","8,086,973 ","655,245 ","993,585 ","1,194,717 ","923,364 ","936,983 ","1,367,376 ","1,778,202 ","368,003 "
2019.03.3주차,"24,068,227 ","8,174,769 ","5,536,239 ","6,282,859 ","3,403,404 ","3,341,478 ","2,610,804 ","521,487 ","26,476,899 ","3,254,109 ","3,289,101 ","4,339,466 ","3,935,961 ","3,713,025 ","5,508,452 ","6,995,410 ","1,610,969 ","14,365,586 ","5,302,502 ","3,691,925 ","4,358,115 ","2,360,791 ","2,259,149 ","1,845,334 ","392,827 ","18,374,469 ","2,564,218 ","2,284,377 ","3,111,734 ","3,003,885 ","2,765,650 ","4,129,904 ","5,221,665 ","1,217,885 ","9,702,641 ","2,872,267 ","1,844,314 ","1,924,744 ","1,042,613 ","1,082,329 ","765,470 ","128,660 ","8,102,430 ","689,891 ","1,004,724 ","1,227,732 ","932,076 ","947,375 ","1,378,548 ","1,773,745 ","393,084 "
2019.03.4주차,"24,046,835 ","8,153,487 ","5,572,104 ","6,349,107 ","3,412,092 ","3,363,127 ","2,625,232 ","528,575 ","26,499,569 ","3,277,816 ","3,314,291 ","4,350,441 ","3,946,047 ","3,773,370 ","5,580,592 ","7,069,122 ","1,669,581 ","14,300,673 ","5,246,434 ","3,680,673 ","4,414,431 ","2,356,530 ","2,257,400 ","1,836,053 ","395,149 ","18,292,977 ","2,562,833 ","2,280,094 ","3,106,224 ","2,987,844 ","2,766,380 ","4,113,242 ","5,174,641 ","1,230,986 ","9,746,162 ","2,907,053 ","1,891,431 ","1,934,676 ","1,055,562 ","1,105,727 ","789,179 ","133,426 ","8,206,592 ","714,983 ","1,034,197 ","1,244,217 ","958,203 ","1,006,990 ","1,467,350 ","1,894,481 ","438,595 "
2019.04.1주차,"24,361,933 ","8,137,292 ","5,618,771 ","6,413,630 ","3,385,382 ","3,405,486 ","2,614,855 ","530,292 ","26,935,693 ","3,330,238 ","3,431,155 ","4,480,366 ","3,980,524 ","3,813,178 ","5,722,166 ","7,123,839 ","1,662,127 ","14,435,231 ","5,219,457 ","3,703,235 ","4,414,061 ","2,324,440 ","2,272,482 ","1,833,490 ","394,710 ","18,465,667 ","2,598,472 ","2,305,627 ","3,134,382 ","2,953,114 ","2,744,770 ","4,151,469 ","5,187,890 ","1,213,553 ","9,926,702 ","2,917,835 ","1,915,536 ","1,999,569 ","1,060,942 ","1,133,004 ","781,365 ","135,582 ","8,470,026 ","731,766 ","1,125,528 ","1,345,984 ","1,027,410 ","1,068,408 ","1,570,697 ","1,935,949 ","448,574 "
2019.04.2주차,"24,305,824 ","8,147,340 ","5,579,698 ","6,434,957 ","3,398,188 ","3,374,771 ","2,601,251 ","527,836 ","26,904,810 ","3,326,700 ","3,411,409 ","4,489,024 ","4,088,823 ","3,841,063 ","5,575,838 ","7,084,820 ","1,675,139 ","14,469,556 ","5,250,660 ","3,711,758 ","4,429,640 ","2,342,657 ","2,269,691 ","1,839,686 ","397,058 ","18,568,953 ","2,593,999 ","2,309,837 ","3,144,991 ","3,033,133 ","2,786,837 ","4,123,736 ","5,229,013 ","1,227,044 ","9,836,268 ","2,896,680 ","1,867,940 ","2,005,317 ","1,055,531 ","1,105,080 ","761,565 ","130,778 ","8,335,857 ","732,701 ","1,101,572 ","1,344,033 ","1,055,690 ","1,054,226 ","1,452,102 ","1,855,807 ","448,095 "
2019.04.3주차,"24,456,315 ","8,270,858 ","5,640,612 ","6,532,491 ","3,414,550 ","3,403,608 ","2,641,303 ","534,726 ","27,232,737 ","3,410,547 ","3,433,646 ","4,557,842 ","4,160,635 ","3,909,746 ","5,732,576 ","7,189,732 ","1,688,042 ","14,582,934 ","5,314,157 ","3,741,786 ","4,462,620 ","2,344,083 ","2,284,091 ","1,858,168 ","398,788 ","18,693,509 ","2,631,751 ","2,330,879 ","3,169,347 ","3,081,793 ","2,825,232 ","4,216,123 ","5,305,103 ","1,243,219 ","9,873,381 ","2,956,701 ","1,898,826 ","2,069,871 ","1,070,467 ","1,119,517 ","783,135 ","135,938 ","8,539,228 ","778,796 ","1,102,767 ","1,388,495 ","1,078,842 ","1,084,514 ","1,516,453 ","1,884,629 ","444,823 "
2019.04.4주차,"24,231,046 ","7,964,639 ","5,531,304 ","6,437,156 ","3,440,669 ","3,368,518 ","2,633,615 ","537,393 ","27,038,765 ","3,406,569 ","3,408,910 ","4,521,453 ","4,048,759 ","3,849,268 ","5,633,232 ","7,061,493 ","1,672,680 ","14,390,680 ","5,133,584 ","3,664,603 ","4,418,292 ","2,367,464 ","2,259,198 ","1,856,133 ","401,300 ","18,488,968 ","2,595,369 ","2,299,479 ","3,141,538 ","2,995,034 ","2,793,460 ","4,152,933 ","5,228,345 ","1,226,776 ","9,840,366 ","2,831,055 ","1,866,701 ","2,018,864 ","1,073,205 ","1,109,320 ","777,482 ","136,093 ","8,549,797 ","811,200 ","1,109,431 ","1,379,915 ","1,053,725 ","1,055,808 ","1,480,299 ","1,833,148 ","445,904 "
2019.05.1주차,"24,107,763 ","8,145,279 ","5,494,330 ","6,533,434 ","3,417,729 ","3,397,288 ","2,620,806 ","542,975 ","27,266,394 ","3,763,552 ","3,520,478 ","4,730,376 ","4,292,215 ","4,112,170 ","5,896,660 ","7,279,982 ","1,728,030 ","14,160,947 ","5,094,541 ","3,546,499 ","4,364,747 ","2,311,411 ","2,228,168 ","1,811,646 ","391,362 ","18,167,259 ","2,590,960 ","2,276,651 ","3,099,529 ","3,009,580 ","2,766,506 ","4,102,621 ","5,161,383 ","1,225,285 ","9,946,816 ","3,050,738 ","1,947,831 ","2,168,687 ","1,106,318 ","1,169,120 ","809,160 ","151,613 ","9,099,135 ","1,172,592 ","1,243,827 ","1,630,847 ","1,282,635 ","1,345,664 ","1,794,039 ","2,118,599 ","502,745 "
2019.05.2주차,"24,193,029 ","8,217,908 ","5,626,983 ","6,506,007 ","3,443,112 ","3,427,124 ","2,615,264 ","540,900 ","27,243,494 ","3,645,430 ","3,506,096 ","4,654,275 ","4,257,690 ","3,984,744 ","5,866,689 ","7,290,834 ","1,697,196 ","14,244,367 ","5,158,397 ","3,643,355 ","4,366,596 ","2,327,982 ","2,246,584 ","1,799,619 ","392,536 ","18,250,202 ","2,594,499 ","2,288,054 ","3,107,827 ","3,035,641 ","2,761,916 ","4,134,662 ","5,192,905 ","1,241,577 ","9,948,662 ","3,059,511 ","1,983,628 ","2,139,411 ","1,115,130 ","1,180,540 ","815,645 ","148,364 ","8,993,292 ","1,050,931 ","1,218,042 ","1,546,448 ","1,222,049 ","1,222,828 ","1,732,027 ","2,097,929 ","455,619 "
