,,요양기관수,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,확진자수
경상남도,함안군,3.0,20276,5803,4440,3374,2901,2284,1474,16887.0
경상남도,함양군,,15933,3787,3048,2647,2632,2347,1472,9738.0
경상남도,합천군,2.0,20208,4575,3825,3374,3428,3029,1977,9524.0
경상북도,경산시,9.0,61212,19386,14253,10525,8128,5653,3267,85732.0
경상북도,경주시,12.0,74723,22026,16887,12773,10557,7637,4843,66766.0
경상북도,고령군,1.0,12117,3116,2634,2061,1792,1546,968,6665.0
경상북도,구미시,10.0,61370,23914,14259,8797,6618,4700,3082,128895.0
경상북도,군위군,,11256,2640,2305,1912,1880,1505,1014,4831.0
경상북도,김천시,3.0,41801,11625,9261,6984,5852,4835,3244,38493.0
경상북도,남구,,58218,20390,15219,9748,6742,3973,2146,
경상북도,문경시,1.0,26791,7032,5660,4627,4167,3263,2042,19096.0
경상북도,봉화군,1.0,14060,3487,2917,2269,2250,1887,1250,5993.0
경상북도,북구,,67469,23592,16998,11012,7877,5038,2952,
경상북도,상주시,3.0,37968,9716,7752,6397,5735,4989,3379,22978.0
경상북도,성주군,5.0,16963,4546,3799,3014,2352,1875,1377,8584.0
경상북도,안동시,7.0,49496,13511,10875,8276,7577,5591,3666,46128.0
경상북도,영덕군,2.0,16332,3642,3281,2731,2956,2303,1419,9130.0
경상북도,영양군,,7531,1746,1508,1225,1372,1030,650,3131.0
경상북도,영주시,4.0,35783,9624,8048,6022,5430,4077,2582,31132.0
경상북도,영천시,3.0,35791,9399,7872,6326,5526,4103,2565,26058.0
경상북도,예천군,2.0,20355,4728,4163,3323,3284,2888,1969,15490.0
경상북도,울릉군,1.0,2976,906,682,522,414,276,176,1393.0
경상북도,울진군,2.0,16988,4401,3278,2744,2702,2251,1612,12321.0
경상북도,의성군,5.0,25461,5825,5248,4236,4316,3524,2312,10492.0
경상북도,청도군,5.0,19310,4629,4267,3403,2833,2473,1705,9626.0
경상북도,청송군,,11447,2827,2398,1931,1923,1480,888,6138.0
경상북도,칠곡군,5.0,23970,7516,5180,3850,3275,2518,1631,28322.0
경상북도,포항시,30.0,125687,43982,32217,20760,14619,9011,5098,158684.0
광주광역시,광산구,15.0,55911,20450,12076,9364,6899,4474,2648,157113.0
광주광역시,남구,9.0,51873,16199,11712,9764,7205,4368,2625,74196.0
광주광역시,동구,9.0,28733,8008,6305,5465,4469,2902,1584,40055.0
광주광역시,북구,18.0,93279,31605,21342,16672,12078,7243,4339,141595.0
광주광역시,서구,9.0,60751,20400,13852,10869,7959,4839,2832,106009.0
대구광역시,남구,9.0,44734,12670,10484,8093,6504,4385,2598,56733.0
대구광역시,달서구,14.0,119948,42818,29333,19538,13998,9142,5119,160926.0
대구광역시,달성군,9.0,47020,16862,11332,7646,5378,3603,2199,75016.0
대구광역시,동구,8.0,91144,27686,21852,16394,12730,8057,4425,94786.0
대구광역시,북구,13.0,91224,30987,21355,15343,11992,7477,4070,125817.0
대구광역시,서구,10.0,53086,16723,13253,9423,7186,4325,2176,81155.0
대구광역시,수성구,10.0,92981,29650,21543,15763,12294,8385,5346,109011.0
대구광역시,중구,2.0,19740,5309,4269,3765,3129,2061,1207,30848.0
대전광역시,대덕구,3.0,40330,14296,9425,6525,5063,3162,1859,51421.0
대전광역시,동구,13.0,57092,17800,13094,10133,8110,5039,2916,77770.0
대전광역시,서구,10.0,89680,32076,21307,14681,10501,6733,4382,151372.0
대전광역시,유성구,9.0,51744,20463,12310,7488,5384,3605,2494,135528.0
대전광역시,중구,12.0,61118,18246,13978,11270,8625,5629,3370,80330.0
부산광역시,강서구,,23257,8545,6057,3735,2476,1534,910,46823.0
부산광역시,금정구,18.0,65991,20857,16370,11972,8765,5129,2898,68968.0
부산광역시,기장군,5.0,35780,11247,8769,6550,4700,2858,1656,56890.0
부산광역시,남구,8.0,72376,21946,17554,13634,10283,5949,3010,76075.0
부산광역시,동구,5.0,29438,8210,6894,5548,4540,2816,1430,42023.0
부산광역시,동래구,15.0,68494,22037,17440,12530,8818,5000,2669,94638.0
부산광역시,부산진구,15.0,95280,29944,23175,17195,12932,7943,4091,101400.0
부산광역시,북구,13.0,71686,25868,17787,12105,8370,4920,2636,80900.0
부산광역시,사상구,13.0,56541,20565,14575,9805,6419,3505,1672,75743.0
부산광역시,사하구,22.0,82847,28058,21027,14791,10134,5860,2977,91541.0
부산광역시,서구,6.0,34264,9724,8043,6434,5093,3245,1725,43200.0
부산광역시,수영구,11.0,50046,15129,12343,9635,6706,4061,2172,52725.0
부산광역시,연제구,14.0,55162,17483,13843,10072,7331,4287,2146,84012.0
부산광역시,영도구,5.0,39902,11315,9541,7709,6021,3594,1722,29696.0
부산광역시,중구,4.0,13932,3982,3316,2640,2075,1224,695,13880.0
부산광역시,해운대구,15.0,97281,32013,23664,16902,12532,7865,4305,114679.0
서울특별시,강남구,9.0,100254,31311,24800,19366,12767,7101,4909,232985.0
서울특별시,강동구,7.0,100158,34831,25440,17779,11460,6307,4341,168736.0
서울특별시,강북구,6.0,83650,24580,18938,15730,12931,7526,3945,105224.0
서울특별시,강서구,5.0,126089,42648,30967,22559,14813,9021,6081,199446.0
서울특별시,관악구,3.0,105565,31825,25050,20365,15387,8483,4455,162897.0
서울특별시,광진구,2.0,70213,23752,16654,12193,9079,5441,3094,128383.0
서울특별시,구로구,8.0,96116,30669,23518,18083,12540,7270,4036,157712.0
서울특별시,금천구,4.0,55176,18549,13168,9962,7240,4004,2253,92980.0
서울특별시,노원구,6.0,118020,37840,27501,20405,15638,10082,6554,168622.0
서울특별시,도봉구,7.0,86238,27753,20054,14959,11763,7315,4394,110732.0
서울특별시,동대문구,7.0,81539,24817,18831,14706,11876,7133,4176,131044.0
서울특별시,동작구,3.0,87643,26873,20324,16330,12149,7441,4526,133854.0
서울특별시,마포구,3.0,71183,21665,15545,12539,10431,6793,4210,135772.0
서울특별시,서대문구,4.0,70436,21055,15252,12502,10523,7007,4097,107856.0
서울특별시,서초구,4.0,80400,25436,19614,15312,10361,5785,3892,163471.0
서울특별시,성동구,3.0,62418,20417,14169,10878,8602,5311,3041,110116.0
서울특별시,성북구,7.0,97869,29909,22047,17617,14216,8953,5127,142980.0
서울특별시,송파구,12.0,133309,46177,34339,23519,14877,8428,5969,249680.0
서울특별시,양천구,3.0,93304,31797,23336,16437,10980,6540,4214,158378.0
서울특별시,영등포구,13.0,80748,25432,18746,14664,10895,6867,4144,163460.0
서울특별시,용산구,,48990,15143,10637,8353,6836,4811,3210,71479.0
서울특별시,은평구,6.0,113400,34977,25920,20726,16255,10083,5439,163097.0
서울특별시,종로구,1.0,34852,10384,7581,5986,5209,3467,2225,73433.0
서울특별시,중구,,29772,9132,6667,5279,4247,2713,1734,88345.0
서울특별시,중랑구,2.0,97168,32215,23269,17323,12806,7423,4132,130693.0
세종특별자치시,세종시,5.0,48720,16969,11421,7769,5719,3938,2904,134571.0
울산광역시,남구,16.0,61318,24391,15893,9809,6043,3393,1789,118992.0
울산광역시,동구,3.0,32186,13547,8515,5079,2798,1448,799,50039.0
울산광역시,북구,5.0,28808,12213,6883,4188,2787,1702,1035,76613.0
울산광역시,울주군,11.0,46528,16644,11107,7340,5405,3623,2409,52207.0
울산광역시,중구,5.0,49294,18111,12626,8167,5587,3184,1619,68458.0
인천광역시,강화군,4.0,27776,7382,5741,5029,4257,3095,2272,19769.0
인천광역시,계양구,8.0,59148,24059,13268,8519,6255,4308,2739,99791.0
인천광역시,남동구,17.0,105715,38512,25051,17554,12261,7538,4799,172095.0
인천광역시,동구,,18757,5377,4202,3541,2826,1714,1097,35033.0
인천광역시,미추홀구,15.0,95964,31421,21802,17116,12787,7911,4927,140889.0
인천광역시,부평구,7.0,107733,39010,24780,17550,12718,8337,5338,166224.0
인천광역시,서구,10.0,88871,35243,20712,13859,9352,5885,3820,203412.0
인천광역시,연수구,3.0,59460,23896,13356,8746,6216,4197,3049,163736.0
인천광역시,옹진군,,7134,2117,1564,1323,932,655,543,
인천광역시,중구,4.0,27203,8656,6311,5042,3643,2119,1432,53198.0
