시도별,행정구역별(시군구),성별,세대구성별,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
울산광역시,면부,계,계,12566,3799,2944,2111,1663,1212,837
울산광역시,동부,계,계,171606,68262,43917,27243,17215,9727,5242
울산광역시,중구,계,계,49294,18111,12626,8167,5587,3184,1619
울산광역시,남구,계,계,61318,24391,15893,9809,6043,3393,1789
울산광역시,동구,계,계,32186,13547,8515,5079,2798,1448,799
울산광역시,북구,계,계,28808,12213,6883,4188,2787,1702,1035
울산광역시,울주군,계,계,46528,16644,11107,7340,5405,3623,2409
세종특별자치시,세종특별자치시,계,계,48720,16969,11421,7769,5719,3938,2904
세종특별자치시,읍부,계,계,9631,2915,2259,1629,1351,905,572
세종특별자치시,면부,계,계,16460,4479,3524,2694,2375,1965,1423
세종특별자치시,동부,계,계,22629,9575,5638,3446,1993,1068,909
세종특별자치시,세종시,계,계,48720,16969,11421,7769,5719,3938,2904
경기도,경기도,계,계,2529512,883095,575072,414002,316340,208640,132363
경기도,읍부,계,계,294138,98334,66694,49305,38434,25480,15891
경기도,면부,계,계,236466,72218,53004,39108,32600,23718,15818
경기도,동부,계,계,1998908,712543,455374,325589,245306,159442,100654
경기도,수원시,계,계,195000,71541,44515,31327,23274,14865,9478
경기도,장안구,계,계,52080,18124,11495,8527,6691,4395,2848
경기도,권선구,계,계,62962,23957,14750,9916,6975,4496,2868
경기도,팔달구,계,계,37586,12583,8799,6463,4966,3019,1756
경기도,영통구,계,계,42372,16877,9471,6421,4642,2955,2006
경기도,성남시,계,계,189747,65252,43845,31963,23594,15022,10071
경기도,수정구,계,계,54765,18856,13329,9600,6817,3906,2257
경기도,중원구,계,계,49215,17520,11710,8445,6022,3510,2008
경기도,분당구,계,계,85767,28876,18806,13918,10755,7606,5806
경기도,의정부시,계,계,97835,32728,21659,16657,13204,8643,4944
경기도,안양시,계,계,112997,41802,26511,17645,12896,8422,5721
경기도,만안구,계,계,55824,19912,13166,9131,6781,4191,2643
경기도,동안구,계,계,57173,21890,13345,8514,6115,4231,3078
경기도,부천시,계,계,170072,65734,40441,26302,18220,11713,7662
경기도,광명시,계,계,61136,21771,14674,9997,7228,4509,2957
경기도,평택시,계,계,91594,31220,20025,14740,11989,8464,5156
경기도,동두천시,계,계,24519,7188,5059,4346,3838,2669,1419
경기도,안산시,계,계,110666,44151,24244,16184,12271,8402,5414
경기도,상록구,계,계,60364,23258,12928,8951,7183,4934,3110
경기도,단원구,계,계,50302,20893,11316,7233,5088,3468,2304
경기도,고양시,계,계,206667,71951,43059,32104,27180,19838,12535
경기도,덕양구,계,계,97437,32830,21014,15902,13131,9158,5402
경기도,일산동구,계,계,54434,19906,11159,8087,6795,5067,3420
경기도,일산서구,계,계,54796,19215,10886,8115,7254,5613,3713
경기도,과천시,계,계,12191,4169,2695,1938,1491,1073,825
경기도,구리시,계,계,39356,14167,9133,6367,4829,3021,1839
경기도,남양주시,계,계,139890,46476,32447,24238,18547,11449,6733
경기도,오산시,계,계,32612,11829,7510,5299,4094,2506,1374
경기도,시흥시,계,계,71949,28892,15976,10562,7922,5378,3219
경기도,군포시,계,계,54274,20161,11980,8232,6305,4426,3170
경기도,의왕시,계,계,33625,12793,7892,5069,3667,2447,1757
경기도,하남시,계,계,54316,19535,13877,9437,5788,3412,2267
경기도,용인시,계,계,193234,58579,43548,35901,27571,16996,10639
경기도,처인구,계,계,51242,17274,11908,8454,6481,4240,2885
경기도,기흥구,계,계,76832,22909,17173,14483,11085,6894,4288
경기도,수지구,계,계,65160,18396,14467,12964,10005,5862,3466
경기도,파주시,계,계,87190,27910,18513,14666,12423,8445,5233
경기도,이천시,계,계,43451,14662,9781,6826,5563,3994,2625
경기도,안성시,계,계,43950,13887,9944,7169,5802,4409,2739
경기도,김포시,계,계,81981,27553,19308,14450,10295,6307,4068
경기도,화성시,계,계,110239,40101,25821,17816,12539,8502,5460
경기도,광주시,계,계,75227,27399,18471,12469,8635,5097,3156
경기도,양주시,계,계,49050,16144,11062,8493,6761,4133,2457
경기도,포천시,계,계,40082,13833,8521,6332,5207,3834,2355
경기도,여주시,계,계,32029,9811,7539,5045,4470,3108,2056
경기도,연천군,계,계,14575,4048,2968,2560,2228,1716,1055
경기도,가평군,계,계,20727,6227,4697,3225,2990,2147,1441
경기도,양평군,계,계,39331,11581,9357,6643,5519,3693,2538
강원도,강원도,계,계,431276,134253,94810,66927,62892,44778,27616
강원도,읍부,계,계,78181,23032,16777,12576,12186,8484,5126
강원도,면부,계,계,131609,39320,28862,19773,19440,14888,9326
강원도,동부,계,계,221486,71901,49171,34578,31266,21406,13164
강원도,춘천시,계,계,68563,21478,14964,10196,10015,7299,4611
강원도,원주시,계,계,76620,26789,16898,10822,10081,7434,4596
강원도,강릉시,계,계,61339,18656,13586,9988,8900,6185,4024
강원도,동해시,계,계,24762,7662,5655,4087,3680,2278,1400
강원도,태백시,계,계,13869,4120,3252,2507,2085,1299,606
강원도,속초시,계,계,22194,7239,4986,3556,3055,2062,1296
강원도,삼척시,계,계,21481,6050,4525,3591,3311,2377,1627
강원도,홍천군,계,계,24317,7508,5379,3635,3325,2737,1733
강원도,횡성군,계,계,18100,5557,3997,2721,2588,1983,1254
강원도,영월군,계,계,14753,4248,3297,2309,2283,1671,945
강원도,평창군,계,계,15742,4797,3493,2470,2278,1748,956
강원도,정선군,계,계,13359,4061,2948,2157,2041,1348,804
강원도,철원군,계,계,13060,3674,2634,2243,2265,1473,771
강원도,화천군,계,계,7159,2040,1475,1101,1194,864,485
강원도,양구군,계,계,6228,1921,1271,895,1031,708,402
강원도,인제군,계,계,9039,2900,1960,1246,1338,964,631
강원도,고성군,계,계,10021,2677,2123,1632,1680,1171,738
강원도,양양군,계,계,10670,2876,2367,1771,1742,1177,737
충청북도,충청북도,계,계,390720,124371,87288,60900,53937,39140,25084
충청북도,읍부,계,계,75367,23461,16807,12136,10528,7638,4797
충청북도,면부,계,계,126179,35109,26830,19487,18868,15278,10607
충청북도,동부,계,계,189174,65801,43651,29277,24541,16224,9680
충청북도,충주시,계,계,56705,17786,12505,8581,8180,6001,3652
충청북도,제천시,계,계,39959,12590,9246,6191,5764,3910,2258
충청북도,청주시,계,계,162294,56336,37220,25076,20488,14104,9070
충청북도,상당구,계,계,40738,13455,9308,6349,5381,3755,2490
충청북도,서원구,계,계,42456,14715,9681,6653,5405,3681,2321
충청북도,흥덕구,계,계,44302,16413,10356,6662,5166,3410,2295
충청북도,청원구,계,계,34798,11753,7875,5412,4536,3258,1964
충청북도,보은군,계,계,13882,3572,2799,2213,2135,1834,1329
충청북도,옥천군,계,계,18610,4984,4047,3121,2822,2073,1563
충청북도,영동군,계,계,18520,4785,3854,3135,3039,2290,1417
충청북도,진천군,계,계,18410,5699,4030,2787,2445,2112,1337
충청북도,괴산군,계,계,16360,4478,3495,2584,2506,1992,1305
충청북도,음성군,계,계,25642,7972,5653,3938,3582,2659,1838
충청북도,단양군,계,계,11604,3381,2485,1937,1751,1278,772
충청북도,증평군,계,계,8734,2788,1954,1337,1225,887,543
충청남도,충청남도,계,계,527371,152481,112294,89257,74083,58279,40977
충청남도,읍부,계,계,125577,36532,27259,21910,17538,13252,9086
충청남도,면부,계,계,240639,59825,48696,40875,36897,31338,23008
충청남도,동부,계,계,161155,56124,36339,26472,19648,13689,8883
충청남도,천안시,계,계,104756,37496,23523,16507,12452,8917,5861
충청남도,동남구,계,계,52442,17886,11848,8415,6470,4704,3119
충청남도,서북구,계,계,52314,19610,11675,8092,5982,4213,2742
충청남도,공주시,계,계,34676,9645,7467,5762,4985,3990,2827
충청남도,보령시,계,계,33363,8932,7284,5975,4812,3747,2613
충청남도,아산시,계,계,56974,17835,12360,9541,7630,5770,3838
충청남도,서산시,계,계,42914,12384,8790,7418,6021,4701,3600
충청남도,논산시,계,계,38586,10461,8133,6433,5719,4582,3258
충청남도,계룡시,계,계,7328,2577,1770,1114,818,600,449
충청남도,당진시,계,계,40444,11472,8328,6983,5667,4730,3264
충청남도,금산군,계,계,19743,5009,4177,3409,3083,2466,1599
충청남도,부여군,계,계,27601,6790,5489,4709,4304,3585,2724
충청남도,서천군,계,계,22686,5096,4611,4081,3593,3033,2272
충청남도,청양군,계,계,13460,3225,2627,2269,2084,1888,1367
충청남도,홍성군,계,계,30056,7728,6263,5199,4434,3736,2696
충청남도,예산군,계,계,30531,7605,6317,5280,4694,3919,2716
충청남도,태안군,계,계,24253,6226,5155,4577,3787,2615,1893
전라북도,전라북도,계,계,492736,138700,104922,89556,71924,52293,35341
전라북도,읍부,계,계,45463,11943,9377,8256,6805,5375,3707
전라북도,면부,계,계,167691,38060,31972,29979,28296,22848,16536
전라북도,동부,계,계,279582,88697,63573,51321,36823,24070,15098
전라북도,전주시,계,계,136457,44015,31245,25037,17643,11518,6999
전라북도,완산구,계,계,74572,24232,17241,13620,9447,6122,3910
전라북도,덕진구,계,계,61885,19783,14004,11417,8196,5396,3089
전라북도,군산시,계,계,66642,20325,15262,12404,9073,5756,3822
전라북도,익산시,계,계,73288,22305,16234,13016,9970,6938,4825
전라북도,정읍시,계,계,36539,8897,7062,6693,5937,4642,3308
전라북도,남원시,계,계,27698,6777,5516,5054,4358,3480,2513
전라북도,김제시,계,계,31085,7462,6078,5622,4995,3919,3009
전라북도,완주군,계,계,26239,7164,5601,4717,3846,2935,1976
