시도명,지역,확진자수
경상남도,고성군,"12,690"
경상남도,김해시,"176,743"
경상남도,남해군,"9,062"
경상남도,밀양시,"28,115"
경상남도,사천시,"34,307"
경상남도,산청군,"7,877"
경상남도,양산시,"116,776"
경상남도,의령군,"5,838"
경상남도,진주시,"114,604"
경상남도,창녕군,"14,991"
경상남도,창원시마산합포구,"77,546"
경상남도,창원시마산회원구,"39,071"
경상남도,창원시성산구,"113,320"
경상남도,창원시의창구,"63,550"
경상남도,창원시진해구,"64,065"
경상남도,통영시,"38,176"
경상남도,하동군,"9,520"
경상남도,함안군,"16,887"
경상남도,함양군,"9,738"
경상남도,합천군,"9,524"
울산광역시,남구,"118,992"
울산광역시,동구,"50,039"
울산광역시,북구,"76,613"
울산광역시,울주군,"52,207"
울산광역시,중구,"68,458"
부산광역시,강서구,"46,823"
부산광역시,금정구,"68,968"
부산광역시,기장군,"56,890"
부산광역시,남구,"76,075"
부산광역시,동구,"42,023"
부산광역시,동래구,"94,638"
부산광역시,부산진구,"101,400"
부산광역시,북구,"80,900"
부산광역시,사상구,"75,743"
부산광역시,사하구,"91,541"
부산광역시,서구,"43,200"
부산광역시,수영구,"52,725"
부산광역시,연제구,"84,012"
부산광역시,영도구,"29,696"
부산광역시,중구,"13,880"
부산광역시,해운대구,"114,679"
제주특별자치도,서귀포시,"55,089"
제주특별자치도,제주시,"173,609"
