,loc_sido,loc_gun,bed,pop,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
32,경기도,오산시,100.0,240645.0,32612,11829,7510,5299,4094,2506,1374,88136.0,108.55598884380612
33,경기도,용인시,342.0,1066975.0,193234,58579,43548,35901,27571,16996,10639,365314.0,438.7026675140059
34,경기도,의왕시,0.0,160230.0,33625,12793,7892,5069,3667,2447,1757,63413.0,79.11668788759442
35,경기도,의정부시,85.0,449572.0,97835,32728,21659,16657,13204,8643,4944,165602.0,191.85940976821516
36,경기도,이천시,67.0,226212.0,43451,14662,9781,6826,5563,3994,2625,87976.0,93.79320603167238
37,경기도,파주시,0.0,460541.0,87190,27910,18513,14666,12423,8445,5233,167068.0,156.04523200772954
38,경기도,평택시,32.0,542522.0,91594,31220,20025,14740,11989,8464,5156,229851.0,139.27169039930195
39,경기도,포천시,11.0,157939.0,40082,13833,8521,6332,5207,3834,2355,48955.0,86.52151524811492
40,경기도,하남시,0.0,279795.0,54316,19535,13877,9437,5788,3412,2267,115522.0,128.85336120991764
41,경기도,화성시,25.0,880859.0,110239,40101,25821,17816,12539,8502,5460,344139.0,219.61994129552437
42,경상남도,거제시,52.0,246965.0,40559,15736,9723,6082,4299,2778,1941,81337.0,117.73083138529466
43,경상남도,거창군,0.0,59595.0,21248,5427,4241,3523,3257,2882,1918,18390.0,40.959177761562515
44,경상남도,고성군,1.0,50016.0,19539,4862,4146,3431,2975,2412,1713,12690.0,49.01601601459101
45,경상남도,김해시,134.0,552427.0,90046,33918,21210,14258,10438,6590,3632,176743.0,238.08760859346657
46,경상남도,남해군,0.0,41587.0,19264,4227,3698,3378,3078,2731,2152,9062.0,37.87673160750087
47,경상남도,밀양시,3.0,103228.0,38185,10976,8845,6477,5372,3984,2531,28115.0,82.66266137110169
48,경상남도,사천시,148.0,111184.0,31190,8624,6919,5541,4607,3407,2092,34307.0,90.226576567686
49,경상남도,산청군,1.0,33500.0,15115,3659,3097,2493,2455,2069,1342,7877.0,41.48604387349737
50,경상남도,양산시,68.0,351206.0,68382,23903,16452,11446,8440,5260,2881,116776.0,176.20966147131693
51,경상남도,의령군,1.0,25965.0,11607,2741,2277,1863,1894,1669,1163,5838.0,36.4509818427011
52,경상남도,진주시,57.0,352403.0,81098,25564,18518,14050,10829,7431,4706,114604.0,168.5334666438376
53,경상남도,창녕군,1.0,61302.0,23538,6354,4977,3999,3602,2817,1789,14991.0,56.52764598563869
54,경상남도,창원시,456.0,1029389.0,221163,81060,55225,35972,24552,15497,8857,357552.0,505.35453693869755
55,경상남도,통영시,17.0,127984.0,34607,11212,8302,6000,4607,2842,1644,38176.0,100.89839327978031
