시도명,시군구명,65~69세,70~74세,75~79세,80~84세,85세이상,격리병상수,남은 격리병상수,병원수,예측된 사망자수,요양기관수,총인구,확진자수
서울특별시,종로구,7581,5986,5209,3467,2225,285.0,62.0,4.0,-34.341539994851075,1.0,151291.0,73433.0
서울특별시,중랑구,23269,17323,12806,7423,4132,208.0,-81.0,3.0,54.20549842927602,2.0,385663.0,130693.0
세종특별자치시,세종시,11421,7769,5719,3938,2904,32.0,9.0,2.0,54.94457744410346,5.0,353933.0,134571.0
울산광역시,남구,15893,9809,6043,3393,1789,72.0,11.0,3.0,24.225305951159214,16.0,320175.0,118992.0
울산광역시,동구,8515,5079,2798,1448,799,114.0,15.0,1.0,4.422342392636608,3.0,159000.0,50039.0
울산광역시,북구,6883,4188,2787,1702,1035,11.0,10.0,1.0,42.284759952212596,5.0,217051.0,76613.0
울산광역시,울주군,11107,7340,5405,3623,2409,1.0,1.0,1.0,51.61593462181071,11.0,225050.0,52207.0
울산광역시,중구,12626,8167,5587,3184,1619,31.0,12.0,1.0,126.74632604021343,5.0,214147.0,68458.0
인천광역시,강화군,5741,5029,4257,3095,2272,2.0,1.0,1.0,64.50124472990746,4.0,66020.0,19769.0
인천광역시,계양구,13268,8519,6255,4308,2739,272.0,16.0,2.0,-7.889833151593223,8.0,292852.0,99791.0
인천광역시,남동구,25051,17554,12261,7538,4799,102.0,31.0,2.0,253.55649315337968,17.0,528927.0,172095.0
인천광역시,미추홀구,21802,17116,12787,7911,4927,62.0,10.0,2.0,271.55294376968476,15.0,405886.0,140889.0
인천광역시,부평구,24780,17550,12718,8337,5338,218.0,25.0,2.0,248.7852875421874,7.0,500812.0,166224.0
인천광역시,서구,20712,13859,9352,5885,3820,219.0,63.0,5.0,123.33671191189813,10.0,541534.0,203412.0
인천광역시,연수구,13356,8746,6216,4197,3049,27.0,6.0,1.0,186.58494671647958,3.0,390260.0,163736.0
인천광역시,중구,6311,5042,3643,2119,1432,91.0,45.0,2.0,44.62308491544053,4.0,138586.0,53198.0
전라남도,강진군,2546,2554,2360,2088,1355,49.0,9.0,1.0,1.560882221644249,1.0,32778.0,9116.0
전라남도,고흥군,5703,5521,5270,4338,3076,7.0,0.0,2.0,55.82659063622003,1.0,60045.0,15568.0
전라남도,곡성군,2012,2040,1995,1833,1293,1.0,0.0,1.0,1.2433892370015087,1.0,27349.0,6839.0
전라남도,광양시,6161,4456,3276,2694,1880,1.0,0.0,1.0,28.637660768318426,5.0,143928.0,46246.0
전라남도,구례군,1926,1811,1837,1493,925,0.0,0.0,1.0,-7.462228619793052,3.0,23907.0,7343.0
